Фрейм,Амплитуда
0,8.573585e-05
1,0.00016074222
2,0.00045223103
3,0.00066452404
4,0.000738427
5,0.005829195
6,0.08233894
7,0.24485947
8,0.95440155
9,1.6607354
10,1.5047773
11,1.1040392
12,0.96238595
13,0.89140385
14,0.7534835
15,0.68203133
16,0.63368905
17,0.6130266
18,0.5890905
19,0.55295366
20,0.5355415
21,0.50881445
22,0.49838766
23,0.4836035
24,0.53172714
25,1.142125
26,1.538664
27,1.1677892
28,0.9179248
29,0.78720224
30,0.7109266
31,0.6602837
32,0.6179347
33,0.6079918
34,0.7037124
35,1.0774667
36,1.0875481
37,0.8268322
38,0.7152389
39,0.6613119
40,0.6136016
41,0.58159626
42,0.5692914
43,0.55587804
44,0.52248985
45,0.4944113
46,0.47756678
47,0.44106114
48,0.42464137
49,0.42794207
50,0.4456573
51,0.6370958
52,0.9314695
53,0.87236315
54,0.7034102
55,0.6262731
56,0.5749848
57,0.5539927
58,0.6028935
59,0.618054
60,0.5926218
61,0.87805426
62,0.963249
63,0.7681542
64,0.68586797
65,0.66335577
66,0.62853
67,0.58897
68,0.58866215
69,0.59051144
70,0.57435113
71,0.5828623
72,0.5539144
73,0.5248565
74,0.5072718
75,0.48275235
76,0.48345718
77,0.45256785
78,0.4440597
79,0.44632074
80,0.43589112
81,0.41014153
82,0.39898515
83,0.40481386
84,0.38306355
85,0.41441128
86,0.8844199
87,1.168169
88,0.9803516
89,0.8587321
90,0.7929445
91,0.7509428
92,0.74043715
93,0.6968719
94,0.7076363
95,1.1754713
96,1.2677424
97,0.9743911
98,0.80913943
99,0.7542127
100,0.704408
101,0.6756844
102,0.66348743
103,0.66130704
104,0.67146367
105,0.6684
106,0.6525793
107,0.6408551
108,0.7200119
109,0.8023168
110,0.7285415
111,0.62447405
112,1.1216297
113,1.1256216
114,0.8034361
115,0.661275
116,0.6366798
117,0.60169715
118,0.56488234
119,0.5736442
120,0.562251
121,0.52236694
122,0.5344335
123,0.52618617
124,0.4987833
125,0.5095335
126,0.55134386
127,0.63757867
128,0.59522134
129,1.0044119
130,1.1003033
131,0.7916213
132,0.65245545
133,0.580824
134,0.55028206
135,0.53847367
136,0.6248621
137,0.7458697
138,0.96115243
139,0.8640534
140,0.73121303
141,0.6999471
142,0.6823869
143,0.67801887
144,0.66621
145,0.7392706
146,0.8982149
147,0.9530189
148,1.1139007
149,0.9661968
150,0.7848077
151,0.73867553
152,0.66320854
153,0.6315545
154,0.63659436
155,0.6214188
156,0.59967375
157,0.58648884
158,0.5756346
159,0.54752105
160,0.56086826
161,0.5680407
162,0.5739904
163,1.1069417
164,1.2668269
165,0.86244464
166,0.6975148
167,0.65187144
168,0.61466396
169,0.5694428
170,0.5169594
171,0.47535774
172,0.6051951
173,0.95687985
174,0.9246196
175,0.7491386
176,0.6550645
177,0.5981639
178,0.5627756
179,0.5338369
180,0.520835
181,0.5171602
182,0.50042254
183,0.4810161
184,0.48352686
185,0.47234523
186,0.46712655
187,0.4632302
188,0.45795828
189,0.6809533
190,1.0059032
